Soil_Type,Crop_Type,Nitrogen,Phosphorus,Potassium,pH,Moisture,Temperature,Humidity,Fertilizer
Red,Chickpea,13,6,65,8.0,74.3,27.5,47.5,28-28-0
Loamy,Sugarcane,81,73,62,6.2,64.3,31.8,72.7,17-17-17
Black,Millets,59,71,17,5.9,50.0,26.5,73.9,10-26-26
Clayey,Chickpea,53,46,80,6.7,42.2,31.4,78.7,Urea
Red,Rice,108,56,50,5.9,45.9,30.9,68.4,DAP
Sandy,Sugarcane,12,61,77,6.5,61.8,24.3,49.5,Urea
Red,Chickpea,87,91,31,5.6,42.2,32.9,69.9,17-17-17
Clayey,Millets,64,45,37,7.8,35.0,27.8,63.6,DAP
Sandy,Chickpea,16,76,9,7.3,65.7,33.2,50.5,10-26-26
Sandy,Wheat,111,27,22,5.6,61.9,30.4,66.9,DAP
Sandy,Maize,69,42,6,6.9,74.8,31.3,56.1,10-26-26
Clayey,Rice,78,21,66,7.0,54.3,28.1,72.3,DAP
Clayey,Sugarcane,75,54,93,5.9,52.1,29.6,68.4,DAP
Loamy,Wheat,29,17,55,6.9,27.5,23.3,53.6,28-28-0
Black,Maize,52,68,23,7.5,74.2,29.3,43.8,10-26-26
Clayey,Chickpea,98,72,73,6.2,57.4,37.4,47.9,17-17-17
Black,Rice,41,49,84,7.0,30.0,20.1,58.6,20-20-0
Black,Millets,116,19,64,8.0,65.0,29.6,84.8,DAP
Black,Pulses,28,91,70,6.4,60.1,26.6,44.7,Urea
Black,Sugarcane,52,69,57,7.7,57.5,27.3,84.1,Urea
Clayey,Chickpea,31,74,48,5.8,31.7,36.2,68.1,Urea
Red,Cotton,80,80,70,8.3,29.4,36.2,80.8,17-17-17
Sandy,Millets,92,35,37,5.9,27.5,25.2,82.9,DAP
Sandy,Groundnut,108,31,6,6.3,50.1,37.7,64.1,10-26-26
Sandy,Groundnut,65,42,24,6.9,52.1,34.8,40.6,10-26-26
Loamy,Maize,101,5,55,5.9,49.3,29.1,74.4,DAP
Sandy,Wheat,98,9,26,7.4,29.2,23.8,67.4,DAP
Sandy,Groundnut,73,92,37,8.3,56.1,20.6,45.4,17-17-17
Clayey,Millets,110,43,93,6.4,38.0,32.0,76.7,DAP
Red,Millets,100,19,40,7.4,30.1,22.3,72.4,DAP
Sandy,Rice,11,8,94,5.9,68.7,24.2,72.1,28-28-0
Red,Wheat,18,83,53,6.9,30.8,25.2,60.3,Urea
Loamy,Rice,97,24,34,6.6,43.1,23.5,61.4,DAP
Sandy,Chickpea,107,22,77,8.0,49.5,28.9,61.2,DAP
Sandy,Rice,38,88,29,7.3,70.4,33.1,81.3,Urea
Clayey,Cotton,98,84,11,6.0,40.3,24.3,82.7,10-26-26
Clayey,Chickpea,47,21,36,7.5,39.9,25.2,43.7,DAP
Black,Pulses,7,88,74,5.6,60.5,33.7,49.3,Urea
Loamy,Groundnut,113,30,18,7.3,70.9,33.0,82.5,10-26-26
Clayey,Sugarcane,18,40,62,6.3,39.1,27.7,48.5,Urea
Sandy,Millets,114,22,41,5.6,41.1,30.5,73.1,DAP
Red,Pulses,34,57,96,7.1,61.4,28.2,41.7,Urea
Black,Chickpea,91,23,16,7.0,64.3,38.0,76.1,DAP
Sandy,Wheat,19,8,90,5.6,28.9,33.6,64.3,28-28-0
Black,Maize,33,15,22,5.8,43.1,34.4,61.0,DAP
Clayey,Groundnut,112,80,71,6.0,74.7,20.5,58.2,17-17-17
Red,Wheat,52,90,25,8.5,62.3,32.2,49.1,Urea
Red,Cotton,76,13,39,5.7,69.4,20.3,72.8,DAP
Sandy,Wheat,47,99,10,5.7,56.3,22.6,42.4,10-26-26
Black,Sugarcane,33,85,11,7.7,41.6,35.9,65.7,10-26-26
Black,Rice,106,38,44,5.8,29.6,21.6,51.6,DAP
Loamy,Sugarcane,75,27,89,7.3,72.8,36.6,44.2,DAP
Black,Maize,86,82,86,6.3,72.4,31.7,44.1,17-17-17
Clayey,Millets,101,53,34,8.3,37.2,36.0,71.2,DAP
Clayey,Millets,66,96,82,6.1,60.4,22.7,75.9,17-17-17
Clayey,Wheat,106,32,73,7.0,42.7,37.2,43.2,DAP
Red,Chickpea,15,71,91,7.4,67.2,23.1,57.0,Urea
Sandy,Groundnut,119,86,45,7.0,61.5,23.9,49.9,17-17-17
Red,Pulses,31,78,67,6.4,69.6,21.6,65.1,Urea
Black,Cotton,116,14,87,8.5,58.7,20.7,81.3,DAP
Black,Sugarcane,10,44,97,5.7,70.2,23.4,60.8,Urea
Loamy,Maize,76,64,10,8.4,66.8,32.0,60.4,10-26-26
Sandy,Millets,44,36,73,6.1,60.7,30.1,74.3,20-20-0
Loamy,Rice,83,57,58,8.4,62.2,21.5,53.6,DAP
Clayey,Cotton,50,26,15,7.7,29.2,35.9,55.8,DAP
Black,Millets,96,44,38,7.0,53.3,31.4,47.4,DAP
Loamy,Rice,64,97,81,6.3,38.5,29.4,70.2,17-17-17
Clayey,Wheat,69,24,61,7.0,55.9,31.7,41.3,DAP
Clayey,Millets,53,53,93,8.1,59.1,32.0,54.2,Urea
Red,Sugarcane,60,8,34,6.0,62.2,29.2,50.9,DAP
Black,Millets,84,11,26,6.8,66.2,31.6,69.3,DAP
Loamy,Millets,59,66,94,5.5,33.8,24.8,85.0,Urea
Loamy,Millets,28,48,21,5.7,58.7,28.2,82.5,10-26-26
Sandy,Maize,108,83,37,7.4,65.0,31.3,51.6,17-17-17
Clayey,Cotton,95,29,81,8.2,71.8,32.0,55.2,DAP
Sandy,Groundnut,17,32,47,5.8,27.7,30.5,82.6,28-28-0
Black,Pulses,113,43,41,7.2,56.4,24.4,60.7,DAP
Clayey,Groundnut,85,46,80,7.4,61.4,27.7,69.2,DAP
Red,Millets,24,20,21,6.1,69.1,35.4,70.8,14-35-14
Sandy,Chickpea,21,83,77,6.1,35.4,25.4,73.7,Urea
Clayey,Groundnut,10,47,39,7.9,61.8,35.9,74.9,Urea
Loamy,Maize,94,90,35,6.3,63.3,22.8,82.6,17-17-17
Loamy,Millets,13,62,63,7.2,53.1,29.3,74.9,Urea
Black,Sugarcane,108,37,35,8.5,32.2,31.8,48.9,DAP
Red,Sugarcane,50,60,11,6.5,46.5,35.1,84.9,10-26-26
Loamy,Sugarcane,112,34,21,8.4,59.3,33.0,50.4,10-26-26
Red,Chickpea,53,67,91,6.3,42.8,32.6,78.3,Urea
Black,Sugarcane,108,58,80,7.4,62.7,29.8,69.2,DAP
Black,Wheat,20,76,22,8.4,45.3,31.3,56.2,10-26-26
Black,Cotton,114,59,5,6.4,55.2,27.6,72.2,10-26-26
Red,Rice,110,85,97,5.9,45.6,28.0,80.1,17-17-17
Loamy,Groundnut,72,96,61,7.5,26.8,37.7,77.8,17-17-17
Black,Groundnut,75,79,35,8.0,64.1,32.3,42.4,17-17-17
Loamy,Maize,20,43,81,7.9,35.6,22.8,50.2,Urea
Loamy,Wheat,105,70,45,6.6,29.0,33.1,73.1,17-17-17
Sandy,Millets,111,70,23,7.0,68.4,24.0,81.6,10-26-26
Clayey,Cotton,77,29,69,7.1,41.8,37.5,65.2,DAP
Clayey,Chickpea,69,56,71,7.0,40.9,33.4,73.8,DAP
Loamy,Maize,105,30,57,7.8,27.6,32.8,56.5,DAP
Sandy,Rice,25,81,93,6.6,32.7,23.3,66.0,Urea
Red,Groundnut,114,20,88,8.4,56.8,28.1,47.6,DAP
Black,Millets,86,26,50,5.8,62.0,35.9,82.4,DAP
Black,Rice,82,28,71,6.6,37.5,32.9,52.9,DAP
Loamy,Chickpea,97,47,21,6.3,30.9,33.5,52.3,10-26-26
Loamy,Millets,102,78,78,7.1,35.6,29.9,82.5,17-17-17
Red,Sugarcane,113,41,10,7.8,68.5,36.9,53.9,10-26-26
Clayey,Rice,55,92,52,7.0,43.6,33.1,49.0,Urea
Sandy,Sugarcane,62,80,42,8.4,63.4,31.7,75.1,17-17-17
Black,Maize,60,28,77,8.3,71.5,34.7,64.7,DAP
Sandy,Groundnut,35,74,71,7.9,62.8,21.5,60.2,Urea
Black,Millets,54,75,19,7.6,69.8,27.4,80.4,10-26-26
Clayey,Maize,30,75,42,6.8,37.0,25.8,48.0,Urea
Black,Wheat,65,91,25,6.7,65.4,30.1,56.2,17-17-17
Red,Millets,101,28,18,5.9,32.6,26.0,73.5,DAP
Sandy,Cotton,81,28,58,7.3,53.6,20.7,77.4,DAP
Loamy,Maize,62,58,43,7.6,40.5,24.2,78.9,DAP
Red,Chickpea,36,36,46,6.4,45.8,34.4,76.1,28-28-0
Loamy,Chickpea,107,75,56,7.2,39.7,26.4,76.4,17-17-17
Clayey,Pulses,44,49,72,6.2,38.4,35.3,75.9,20-20-0
Loamy,Pulses,10,87,52,5.5,31.5,27.9,49.8,Urea
Sandy,Groundnut,85,68,94,7.7,69.4,30.6,79.9,17-17-17
Sandy,Sugarcane,111,78,28,5.5,48.7,29.9,78.6,17-17-17
Red,Millets,92,70,52,8.2,33.9,32.0,71.9,17-17-17
Clayey,Rice,69,46,89,6.9,68.1,22.0,65.7,DAP
Red,Pulses,68,45,91,5.8,61.2,33.5,85.0,DAP
Red,Groundnut,64,53,55,8.5,53.6,28.1,77.7,DAP
Sandy,Sugarcane,40,83,12,8.4,70.3,25.1,75.7,10-26-26
Sandy,Cotton,108,46,33,6.8,33.2,35.7,68.6,DAP
Clayey,Maize,8,64,65,7.0,49.1,21.0,56.0,Urea
Clayey,Cotton,107,65,14,7.2,68.1,34.0,82.4,10-26-26
Red,Sugarcane,99,27,21,6.4,48.4,27.2,54.3,DAP
Clayey,Rice,68,35,85,6.9,36.0,21.0,45.0,DAP
Clayey,Pulses,99,21,79,5.8,34.0,34.8,65.4,DAP
Loamy,Cotton,7,13,90,8.3,51.8,29.2,42.5,28-28-0
Red,Groundnut,6,98,70,6.1,73.3,29.4,83.9,Urea
Sandy,Rice,78,50,73,6.5,44.4,25.2,78.4,DAP
Black,Maize,25,86,61,8.4,33.0,26.6,67.9,Urea
Clayey,Maize,72,65,65,8.0,41.5,33.4,63.2,17-17-17
Red,Sugarcane,117,74,67,7.8,70.4,24.1,81.9,17-17-17
Black,Pulses,30,46,45,8.4,70.5,31.4,43.2,Urea
Sandy,Cotton,45,81,35,6.3,32.6,25.7,53.8,Urea
Clayey,Wheat,44,32,41,6.1,34.6,35.4,59.6,17-17-17
Loamy,Pulses,79,18,42,8.3,48.3,23.7,54.5,DAP
Black,Rice,115,18,38,8.3,70.0,29.2,60.7,DAP
Clayey,Rice,23,76,96,6.9,51.5,22.1,76.1,Urea
Black,Millets,119,13,66,7.9,36.5,24.7,42.4,DAP
Red,Wheat,79,56,12,6.4,35.8,37.6,49.0,10-26-26
Black,Cotton,95,89,56,8.1,65.6,29.6,44.4,17-17-17
Red,Cotton,81,52,30,7.4,45.2,31.1,41.8,DAP
Clayey,Sugarcane,81,81,62,8.3,31.4,21.7,59.2,17-17-17
Clayey,Wheat,116,88,19,8.1,65.6,29.0,54.0,10-26-26
Loamy,Rice,20,70,85,8.4,60.5,35.9,46.6,Urea
Red,Millets,53,67,66,7.1,43.0,20.1,76.9,17-17-17
Black,Rice,96,27,82,8.1,71.7,25.7,83.6,DAP
Sandy,Rice,106,50,60,7.3,34.9,31.9,61.2,DAP
Red,Pulses,61,87,70,7.8,66.4,27.8,73.7,17-17-17
Red,Sugarcane,9,59,65,6.9,41.3,33.0,55.9,Urea
Sandy,Pulses,18,40,86,5.8,37.0,37.0,50.8,Urea
Clayey,Pulses,31,79,9,5.6,56.1,36.4,55.6,10-26-26
Black,Groundnut,80,34,24,5.5,51.7,26.3,57.0,10-26-26
Black,Wheat,89,20,13,7.6,55.3,20.3,47.5,DAP
Red,Chickpea,17,44,59,8.1,40.5,24.1,73.3,Urea
Loamy,Cotton,109,79,16,6.3,65.4,20.1,40.4,10-26-26
Red,Maize,15,68,77,7.3,38.3,22.8,78.8,Urea
Loamy,Maize,63,76,73,5.9,64.8,32.4,75.3,17-17-17
Loamy,Wheat,37,6,18,5.9,49.5,36.7,61.8,DAP
Clayey,Rice,18,97,28,7.5,51.0,36.4,82.4,Urea
Black,Groundnut,76,96,27,7.1,71.2,27.0,50.9,17-17-17
Sandy,Cotton,117,94,85,7.4,53.7,29.1,48.2,17-17-17
Red,Groundnut,92,15,63,5.6,57.4,27.8,61.8,DAP
Clayey,Sugarcane,21,99,48,7.6,71.2,21.5,44.1,Urea
Sandy,Wheat,57,82,48,5.5,69.5,20.8,50.6,Urea
Clayey,Groundnut,14,43,32,7.5,49.3,23.4,54.1,Urea
Black,Wheat,72,13,96,8.2,50.9,27.3,48.6,DAP
Sandy,Groundnut,98,37,20,6.7,69.0,22.2,64.0,10-26-26
Loamy,Sugarcane,76,74,34,8.2,62.6,28.6,47.8,17-17-17
Clayey,Groundnut,62,7,39,7.7,74.2,36.5,48.9,DAP
Sandy,Rice,100,10,89,7.7,71.7,33.9,51.9,DAP
Red,Rice,83,82,23,8.0,39.0,31.8,50.8,10-26-26
Red,Sugarcane,55,77,57,8.1,28.5,25.2,73.2,Urea
Black,Millets,80,55,23,6.9,37.1,28.2,51.8,10-26-26
Black,Wheat,86,33,21,7.5,73.1,26.4,44.5,10-26-26
Red,Cotton,71,6,93,6.9,49.3,22.4,54.2,DAP
Clayey,Rice,116,7,72,7.8,62.9,36.5,45.1,DAP
Sandy,Pulses,94,14,82,6.6,72.4,33.8,82.0,DAP
Loamy,Rice,56,92,27,7.8,46.9,25.3,62.1,Urea
Loamy,Millets,95,51,83,8.3,60.7,31.0,65.5,DAP
Red,Sugarcane,22,47,84,8.3,30.5,37.5,78.7,Urea
Sandy,Rice,7,59,18,6.6,69.4,33.8,52.8,10-26-26
Clayey,Pulses,31,41,98,7.1,31.0,34.7,80.8,Urea
Clayey,Groundnut,114,90,15,8.0,47.0,23.0,54.5,10-26-26
Red,Rice,79,74,5,7.9,71.2,37.7,84.2,10-26-26
Sandy,Sugarcane,82,51,73,5.6,29.0,25.9,73.5,DAP
Clayey,Cotton,25,64,17,7.5,28.6,22.7,41.3,10-26-26
Loamy,Rice,37,45,34,5.9,27.7,30.9,65.7,17-17-17
Loamy,Pulses,92,10,93,6.5,52.7,36.7,82.7,DAP
Loamy,Rice,111,33,54,7.5,69.8,31.6,66.4,DAP
Loamy,Maize,80,64,24,8.2,38.7,22.3,59.4,10-26-26
Black,Maize,46,19,37,6.0,45.1,32.9,61.6,DAP
Red,Groundnut,69,92,92,7.5,27.0,21.2,84.5,17-17-17
Red,Pulses,31,90,78,5.7,60.1,29.6,61.7,Urea
Black,Pulses,11,8,95,6.2,42.6,37.0,63.3,28-28-0
Loamy,Cotton,21,79,34,7.6,44.8,29.6,82.5,Urea
Loamy,Chickpea,50,39,8,7.2,63.9,31.2,70.4,10-26-26
Clayey,Wheat,62,67,32,7.7,33.8,21.4,70.5,17-17-17
Red,Rice,65,13,81,6.6,49.0,29.7,78.2,DAP
Clayey,Maize,107,92,71,5.9,55.2,31.4,44.5,17-17-17
Sandy,Cotton,86,65,91,6.0,46.5,30.6,44.0,17-17-17
Clayey,Maize,11,35,52,5.6,69.7,31.1,52.7,Urea
Black,Wheat,77,54,85,7.6,25.9,34.6,45.8,DAP
Sandy,Groundnut,61,21,43,6.5,49.8,30.5,63.1,DAP
Sandy,Cotton,56,71,48,7.1,49.3,24.6,77.1,Urea
Sandy,Millets,83,21,71,7.2,32.4,23.4,69.4,DAP
Clayey,Millets,5,7,71,8.0,46.6,23.9,48.3,28-28-0
Black,Wheat,8,18,95,7.4,31.4,24.1,52.6,28-28-0
Black,Rice,99,89,30,8.0,33.4,35.2,74.2,17-17-17
Clayey,Pulses,64,71,69,8.5,68.6,24.8,67.2,17-17-17
Sandy,Cotton,18,48,20,7.3,67.3,25.8,84.8,10-26-26
Sandy,Rice,37,33,73,7.6,66.7,35.6,77.5,28-28-0
Loamy,Sugarcane,45,99,81,5.9,67.7,30.5,71.4,Urea
Black,Chickpea,100,17,73,7.0,47.0,26.2,46.2,DAP
Black,Millets,27,34,64,7.6,67.9,35.9,82.0,28-28-0
Sandy,Maize,56,8,38,7.5,35.6,21.3,78.3,DAP
Loamy,Wheat,43,58,94,7.5,36.3,25.0,75.7,Urea
Loamy,Rice,94,91,86,8.4,49.7,23.3,50.1,17-17-17
Clayey,Cotton,13,55,20,6.6,27.8,24.3,75.4,10-26-26
Clayey,Millets,17,6,75,7.1,54.3,26.4,67.6,28-28-0
Black,Wheat,89,43,88,7.0,47.8,35.0,46.7,DAP
Clayey,Millets,24,97,74,7.8,68.7,35.0,53.2,Urea
Red,Rice,86,30,60,5.8,55.2,24.3,82.4,DAP
Loamy,Cotton,90,94,92,7.0,34.4,31.4,60.2,17-17-17
Sandy,Chickpea,92,76,36,8.2,50.0,22.0,72.4,17-17-17
Red,Pulses,14,84,68,5.9,52.1,20.7,56.5,Urea
Black,Cotton,23,25,26,7.7,56.5,36.8,62.0,14-35-14
Loamy,Pulses,22,37,5,6.8,58.8,22.2,64.1,10-26-26
Loamy,Sugarcane,87,58,65,5.9,69.7,35.1,72.6,DAP
Black,Millets,54,99,37,6.0,40.2,24.2,73.1,Urea
Sandy,Maize,11,82,57,6.5,56.2,32.1,48.5,Urea
Black,Pulses,95,93,17,8.3,27.5,20.7,68.7,10-26-26
Sandy,Millets,60,13,86,7.5,42.4,21.7,72.8,DAP
Sandy,Maize,71,73,18,6.5,55.2,33.5,62.0,10-26-26
Clayey,Chickpea,20,45,59,6.9,26.2,31.2,42.5,Urea
Sandy,Wheat,56,6,54,7.0,31.0,33.6,68.8,DAP
Black,Wheat,8,81,99,7.8,62.6,21.3,76.6,Urea
Black,Pulses,34,77,10,6.4,67.1,35.3,72.7,10-26-26
Black,Pulses,81,36,51,6.5,68.5,31.6,71.2,DAP
Black,Millets,9,81,5,7.1,71.7,37.8,63.1,10-26-26
Black,Groundnut,34,86,79,7.7,52.8,23.1,66.1,Urea
Red,Rice,23,7,40,8.1,28.6,25.5,77.7,28-28-0
Loamy,Rice,81,37,9,6.3,69.9,28.3,78.0,10-26-26
Black,Wheat,58,8,98,6.5,64.8,30.1,71.3,DAP
Loamy,Chickpea,116,99,41,6.8,36.9,20.6,56.5,17-17-17
Black,Groundnut,23,5,44,5.7,57.0,32.5,46.4,28-28-0
Sandy,Sugarcane,55,64,12,7.6,46.1,36.7,42.5,10-26-26
Red,Sugarcane,89,94,63,8.1,42.1,37.3,57.3,17-17-17
Red,Chickpea,99,55,36,5.9,58.7,30.4,47.3,DAP
Loamy,Maize,40,80,13,8.3,25.7,28.0,42.1,10-26-26
Loamy,Cotton,93,65,22,7.5,53.3,36.0,63.4,10-26-26
Clayey,Sugarcane,64,61,75,6.7,29.4,23.5,67.6,17-17-17
Clayey,Rice,66,58,33,7.7,30.1,25.1,57.0,DAP
Loamy,Sugarcane,105,75,50,7.7,36.5,25.4,81.6,17-17-17
Sandy,Chickpea,64,51,44,8.1,26.5,29.3,60.5,DAP
Black,Groundnut,64,37,8,6.7,58.9,35.3,62.5,10-26-26
Black,Chickpea,112,91,20,6.0,71.8,33.1,40.0,10-26-26
Sandy,Millets,96,96,34,5.8,30.8,37.8,54.2,17-17-17
Red,Maize,22,93,60,7.3,45.8,35.2,50.8,Urea
Black,Wheat,100,22,21,7.2,70.3,24.6,82.3,DAP
Clayey,Maize,48,72,29,6.1,71.5,30.0,78.5,Urea
Clayey,Cotton,7,90,66,7.5,51.4,34.6,41.6,Urea
Loamy,Rice,115,81,55,6.9,28.4,30.2,59.8,17-17-17
Clayey,Sugarcane,19,64,44,7.6,40.2,22.1,40.6,Urea
Black,Chickpea,111,99,84,7.5,45.4,22.4,65.7,17-17-17
Red,Millets,72,77,11,6.8,34.1,27.2,56.9,10-26-26
Black,Maize,97,56,26,8.1,55.5,33.5,54.8,DAP
Loamy,Cotton,96,35,81,7.1,47.9,20.8,42.4,DAP
Black,Sugarcane,116,31,39,6.7,40.8,23.8,57.7,DAP
Sandy,Cotton,19,25,56,7.0,60.3,28.8,78.2,28-28-0
Clayey,Chickpea,69,97,92,6.9,62.9,25.8,75.2,17-17-17
Red,Pulses,5,11,5,7.1,45.6,28.9,79.6,14-35-14
Loamy,Rice,101,75,16,6.7,30.7,32.3,45.5,10-26-26
Red,Sugarcane,115,44,88,5.8,56.7,25.7,54.1,DAP
Sandy,Cotton,23,81,33,6.8,26.9,25.8,84.0,Urea
Clayey,Sugarcane,49,34,48,8.2,32.3,31.7,49.4,20-20-0
Black,Groundnut,42,7,84,7.3,28.2,25.0,82.8,DAP
Red,Maize,28,43,72,7.3,63.2,38.0,51.0,Urea
Sandy,Wheat,98,57,34,6.2,71.8,32.4,67.2,DAP
Black,Chickpea,45,81,83,6.7,42.6,20.6,81.2,Urea
Sandy,Sugarcane,14,17,67,6.8,36.0,23.8,71.0,28-28-0
Sandy,Chickpea,80,15,6,6.2,57.7,34.3,77.7,DAP
Loamy,Maize,118,88,29,6.4,38.0,37.3,68.2,17-17-17
Clayey,Maize,56,52,24,6.7,30.1,26.2,84.6,10-26-26
Black,Maize,112,76,70,6.7,67.2,21.0,70.3,17-17-17
Clayey,Sugarcane,78,33,56,6.5,37.5,33.0,49.3,DAP
Clayey,Chickpea,112,86,97,7.9,51.2,34.9,50.2,17-17-17
Sandy,Pulses,16,11,21,6.5,67.8,21.8,52.2,14-35-14
Clayey,Rice,51,99,39,5.8,47.5,20.7,71.7,Urea
Red,Rice,16,67,81,8.4,33.8,22.5,45.7,Urea
Black,Rice,27,72,56,7.2,49.0,26.1,50.6,Urea
Black,Cotton,20,21,88,6.2,25.5,36.9,46.9,28-28-0
Clayey,Groundnut,45,90,62,6.5,28.5,22.3,72.2,Urea
Red,Maize,21,64,13,6.4,49.3,30.5,56.6,10-26-26
Red,Maize,74,78,84,6.7,51.5,36.1,60.2,17-17-17
Sandy,Cotton,97,7,56,7.1,73.8,28.0,66.4,DAP
Red,Rice,72,32,75,5.6,44.4,34.7,84.5,DAP
Loamy,Chickpea,20,58,47,7.0,63.5,28.9,73.4,Urea
Red,Rice,29,22,27,6.0,37.1,25.0,72.9,14-35-14
Sandy,Wheat,49,94,65,5.5,39.2,22.1,69.5,Urea
Black,Cotton,56,90,9,6.9,53.1,29.4,65.5,10-26-26
Sandy,Cotton,110,65,55,5.9,39.4,37.3,64.3,17-17-17
Loamy,Sugarcane,115,93,63,7.8,40.3,32.8,45.1,17-17-17
Clayey,Chickpea,56,78,38,7.9,72.2,34.8,44.6,Urea
Black,Cotton,117,45,85,7.0,49.0,32.2,65.7,DAP
Black,Groundnut,30,23,59,7.5,56.0,21.9,84.4,DAP
Red,Groundnut,92,29,51,5.9,34.9,36.4,84.2,DAP
Loamy,Groundnut,75,21,65,8.5,42.0,20.0,50.1,DAP
Loamy,Sugarcane,76,92,81,6.6,36.5,32.5,45.4,17-17-17
Black,Millets,78,94,85,5.8,71.5,32.3,40.1,17-17-17
Loamy,Rice,41,33,16,7.8,33.7,25.5,47.1,10-26-26
Red,Rice,65,62,58,7.7,73.9,21.9,71.0,17-17-17
Sandy,Maize,83,90,10,6.6,52.6,36.2,55.7,10-26-26
Sandy,Cotton,57,63,73,6.8,30.6,29.5,54.6,Urea
Clayey,Cotton,66,58,19,7.7,58.0,20.1,54.8,10-26-26
Black,Wheat,32,98,22,7.9,70.7,23.9,66.6,10-26-26
Red,Cotton,61,12,60,8.4,37.6,27.4,78.7,DAP
Clayey,Chickpea,58,82,79,7.6,55.6,31.8,56.4,Urea
Sandy,Groundnut,99,21,13,7.0,62.1,30.6,63.4,DAP
Clayey,Rice,118,15,80,6.5,68.7,26.0,83.9,DAP
Clayey,Wheat,16,44,58,7.1,29.7,27.9,75.3,Urea
Clayey,Maize,51,9,80,7.6,38.0,34.9,75.5,DAP
Red,Rice,91,46,86,7.9,62.9,33.8,84.7,DAP
Black,Maize,112,67,95,7.7,68.3,27.1,53.4,17-17-17
Loamy,Cotton,87,57,84,5.7,47.1,32.5,49.3,DAP
Red,Millets,73,18,46,6.0,30.5,30.1,80.7,DAP
Sandy,Maize,61,94,52,6.9,49.3,28.3,82.3,17-17-17
Clayey,Groundnut,75,38,57,5.6,65.6,37.4,73.9,DAP
Loamy,Cotton,45,57,33,6.5,66.7,28.8,74.3,Urea
Black,Sugarcane,10,41,89,6.2,31.6,22.9,76.6,Urea
Clayey,Cotton,55,69,97,6.8,68.1,31.7,83.6,Urea
Loamy,Cotton,31,28,43,6.0,44.4,33.4,66.1,DAP
Black,Millets,98,35,96,8.1,58.1,29.3,47.7,DAP
Red,Sugarcane,113,10,28,8.4,48.5,32.7,53.1,DAP
Black,Chickpea,97,28,52,7.3,60.2,32.9,75.5,DAP
Sandy,Wheat,33,10,11,6.6,67.3,25.7,78.2,DAP
Sandy,Wheat,48,51,39,6.5,51.2,21.2,40.1,17-17-17
Black,Groundnut,84,45,7,7.2,63.8,22.4,42.2,10-26-26
Red,Wheat,104,44,55,5.9,25.6,24.6,50.3,DAP
Sandy,Wheat,12,29,44,7.3,35.0,25.6,45.9,28-28-0
Red,Millets,115,83,66,7.4,26.1,24.4,60.3,17-17-17
Sandy,Wheat,50,18,12,7.6,34.0,31.8,58.7,DAP
Clayey,Rice,77,60,60,6.8,59.7,32.1,45.2,17-17-17
Clayey,Pulses,99,44,58,8.4,41.5,26.9,83.1,DAP
Black,Groundnut,119,10,59,7.3,40.4,37.2,44.5,DAP
Red,Rice,97,98,94,8.1,33.6,25.1,60.0,17-17-17
Loamy,Sugarcane,13,28,19,7.0,44.6,34.1,47.0,14-35-14
Sandy,Cotton,80,40,65,5.6,63.2,20.6,46.2,DAP
Loamy,Millets,72,92,25,8.4,34.3,28.4,82.2,17-17-17
Loamy,Rice,78,97,63,6.3,40.5,25.7,59.1,17-17-17
Sandy,Sugarcane,55,54,15,8.3,73.4,22.1,56.2,10-26-26
Clayey,Millets,103,24,19,7.0,45.7,20.9,46.7,DAP
Sandy,Wheat,30,12,77,6.8,32.8,28.1,59.1,DAP
Sandy,Cotton,53,47,45,5.6,70.5,32.2,68.6,17-17-17
Loamy,Wheat,38,80,28,8.4,39.3,22.7,47.9,Urea
Sandy,Cotton,84,56,19,6.5,54.7,22.3,78.7,10-26-26
Red,Groundnut,53,25,19,6.6,73.0,22.1,83.6,DAP
Black,Cotton,61,56,47,8.4,46.0,24.6,69.9,DAP
Sandy,Groundnut,84,45,98,6.3,47.4,36.5,80.5,DAP
Clayey,Cotton,112,73,13,6.5,38.4,25.1,85.0,10-26-26
Red,Cotton,53,21,67,6.2,69.3,24.9,74.6,DAP
Clayey,Groundnut,7,8,92,8.0,58.5,33.7,63.1,28-28-0
Loamy,Wheat,35,30,27,6.8,57.8,26.3,63.4,14-35-14
Red,Millets,78,24,51,7.0,29.0,28.8,68.4,DAP
Sandy,Groundnut,106,16,30,6.7,70.1,27.6,65.7,DAP
Sandy,Wheat,56,64,38,8.0,50.1,37.9,48.1,Urea
Red,Pulses,97,37,42,6.2,48.4,24.7,59.4,DAP
Black,Chickpea,94,28,81,8.2,50.2,30.0,82.6,DAP
Red,Wheat,75,5,64,6.8,47.5,24.8,64.1,DAP
Black,Wheat,29,8,68,5.8,50.0,33.8,83.2,28-28-0
Clayey,Cotton,63,57,12,6.7,46.7,22.8,79.6,10-26-26
Sandy,Chickpea,14,51,8,8.3,65.5,23.2,51.4,10-26-26
Clayey,Groundnut,85,32,23,7.3,50.0,20.6,47.7,10-26-26
Red,Wheat,54,32,87,6.7,69.1,38.0,84.4,Urea
Sandy,Cotton,6,32,78,7.9,26.2,30.9,63.6,28-28-0
Loamy,Sugarcane,85,96,14,6.7,70.7,26.8,42.8,10-26-26
Loamy,Sugarcane,90,98,44,8.1,70.3,31.7,73.7,17-17-17
Clayey,Wheat,23,76,37,7.7,66.6,29.1,72.3,Urea
